recorded-at, sample-id, comp. str. 2d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-08-29 Do. 06:00 ,2019-08-03251,,,61.2,0.0,11.7,,,,,1.5,8.7,11.4,18.8,22.3,27.2,0.9,2.1,64.5,0.90,4.21,3.64,0.56,0.23,0.055,0.22,0.06,,,,0.60,60.0,15.8,2.1,4.1,7.4,1.3,0.8,
2019-08-27 Di. 06:00 ,2019-08-03040,,,,,,,,,,1.5,8.5,11.2,18.4,21.9,26.6,,,64.4,0.88,4.18,3.60,0.56,0.21,0.056,0.22,0.06,,,,0.58,59.8,16.7,2.0,4.4,7.1,1.2,0.8,
2019-08-27 Di. 06:00 ,2019-08-03041,49.1,70.8,61.7,0.0,11.3,32.0,130,165,1.0,1.4,8.2,11.1,18.8,22.7,28.1,0.3,0.7,64.9,0.82,4.17,3.69,0.51,0.21,0.025,0.22,0.06,,,,0.55,60.3,16.3,2.4,3.8,7.4,1.3,0.2,
2019-08-26 Mo. 06:00 ,2019-08-02954,50.4,73.5,61.1,0.0,11.2,32.5,140,170,1.0,1.5,8.6,11.3,18.5,21.9,26.6,0.8,1.9,64.4,0.94,4.17,3.75,0.52,0.23,0.030,0.22,0.06,,,,0.57,61.3,14.5,1.9,4.4,7.4,1.1,0.8,
2019-08-22 Do. 07:00 ,2019-08-02547,48.9,72.3,60.6,0.0,11.0,32.5,150,195,1.0,1.5,8.2,11.0,18.4,22.4,28.2,0.4,0.9,64.7,0.91,4.15,3.63,0.52,0.20,0.030,0.22,0.06,,,,0.54,62.7,14.9,2.1,4.0,7.9,0.6,0.2,
2019-08-20 Di. 08:00 ,2019-08-02283,48.5,72.7,59.6,0.0,11.3,32.0,145,175,,1.5,8.7,11.6,19.6,23.5,29.0,0.3,0.6,67.6,0.88,4.27,3.69,0.54,0.21,0.036,0.23,0.07,,,,0.57,61.0,15.8,2.6,3.8,7.1,1.0,0.2,
2019-08-19 Mo. 06:00 ,2019-08-02133,50.5,75.4,60.2,0.0,11.6,,,,,1.5,8.8,11.5,19.0,22.4,27.3,1.3,2.9,64.5,0.92,4.12,3.54,0.52,0.21,0.037,0.22,0.06,,,,0.55,61.5,14.5,2.2,4.3,7.5,1.1,1.0,
2019-08-15 Do. 06:00 ,2019-08-01737,49.0,72.8,59.4,0.2,11.5,32.5,150,180,1.0,1.5,8.1,11.0,18.9,23.4,30.2,0.4,0.9,63.9,0.87,4.03,3.64,0.53,0.20,0.037,0.22,0.06,,,,0.55,61.1,15.8,2.1,2.9,9.3,0.8,0.3,
2019-08-13 Di. 07:00 ,2019-08-01473,47.9,71.9,60.5,0.0,11.2,,,,,1.5,8.5,11.4,19.4,23.3,28.7,0.3,0.6,57.3,0.77,3.94,3.27,0.48,0.20,0.032,0.18,0.05,,,,0.51,67.1,11.9,7.6,1.8,6.6,0.7,0.0,
2019-08-12 Mo. 07:00 ,2019-08-01337,50.2,75.9,61.4,0.0,11.6,32.5,145,170,2.0,1.5,8.5,11.1,18.1,21.4,26.2,0.8,1.8,64.5,1.04,4.27,3.70,0.54,0.21,0.037,0.22,0.06,,,,0.56,60.2,16.6,2.4,4.3,7.0,0.9,0.5,
2019-08-08 Do. 05:00 ,2019-08-00899,49.3,74.0,61.3,0.0,11.2,32.5,130,155,,1.4,8.2,11.0,18.6,22.4,28.0,0.4,0.8,64.5,0.91,4.27,3.64,0.53,0.23,0.034,0.22,0.06,,,,0.58,60.7,16.7,2.2,4.2,7.5,0.9,0.1,
2019-08-07 Mi. 06:00 ,2019-08-00763,,,,,,,,,,1.4,8.0,10.8,18.2,22.2,28.1,,,64.8,1.02,4.28,3.62,0.52,0.22,0.038,0.22,0.06,,,,0.56,63.4,13.3,1.7,5.2,7.1,1.0,0.2,
2019-08-06 Di. 07:00 ,2019-08-00610,49.5,71.4,60.6,0.0,11.8,,,,,1.5,8.7,11.6,19.5,23.4,28.9,0.3,0.7,65.0,0.91,4.23,3.73,0.54,0.22,0.030,0.22,0.06,,,,0.58,62.2,15.2,2.9,3.9,7.2,0.7,0.1,
2019-08-05 Mo. 08:00 ,2019-08-00503,49.8,75.8,59.8,0.1,11.9,32.5,140,175,,1.5,8.6,11.2,18.2,21.6,26.4,0.9,2.1,64.5,0.99,4.25,3.72,0.53,0.23,0.034,0.22,0.06,,,,0.58,60.7,15.1,2.3,4.2,7.1,0.8,1.1,
