recorded-at, sample-id, comp. str. 2d, comp. str. 7d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-05-21 Di. 08:00 ,2019-05-02485,15.3,33.3,52.2,71.0,0.0,8.4,,,,,1.7,12.0,17.4,33.1,41.7,54.8,0.3,0.6,49.4,4.40,7.88,3.45,0.59,0.26,0.080,0.46,0.18,0.72,63.6,67.3,0.64,19.9,5.3,0.4,1.9,2.7,0.3,0.4,63.9
2019-05-21 Di. 08:00 ,2019-05-02482,13.3,39.3,57.4,71.1,0.0,7.8,,,,,1.7,11.7,17.2,33.2,42.9,57.5,0.4,1.0,48.6,4.20,7.57,3.88,0.56,0.24,0.060,0.43,0.18,0.73,63.8,68.0,0.61,20.4,4.8,0.4,1.7,2.5,0.4,0.7,62.6
2019-05-20 Mo. 11:00 ,2019-05-02346,12.6,36.8,51.8,70.3,0.0,8.1,28.0,185,215,,1.7,12.0,17.6,34.2,44.6,59.4,0.5,1.1,49.5,4.25,7.64,3.94,0.56,0.25,0.065,0.44,0.18,0.74,62.3,66.5,0.62,20.6,4.7,0.7,1.6,2.5,0.5,1.0,62.4
2019-05-16 Do. 08:00 ,2019-05-01868,12.5,39.4,55.4,,,,28.0,215,245,0.0,1.6,11.8,17.4,33.7,43.8,58.5,,,48.9,4.35,7.63,3.61,0.56,0.25,0.066,0.43,0.17,0.62,64.0,68.0,0.62,21.2,4.9,0.9,1.3,2.8,0.7,0.6,61.6
2019-05-14 Di. 08:00 ,2019-05-01670,13.0,41.6,61.1,71.1,0.0,7.8,,,,,1.7,12.0,17.8,34.7,45.9,62.8,0.4,0.9,50.4,4.59,7.95,3.40,0.56,0.25,0.062,0.44,0.17,0.63,62.5,66.0,0.62,20.2,4.6,0.7,1.4,2.4,0.4,0.8,64.4
2019-05-13 Mo. 09:00 ,2019-05-01563,12.7,39.0,54.9,71.1,0.0,7.8,28.0,215,245,0.5,1.6,11.7,17.2,33.5,43.3,57.7,0.4,0.8,50.0,4.31,7.61,3.76,0.57,0.24,0.068,0.43,0.17,0.62,61.3,65.3,0.62,20.3,5.1,0.5,1.7,2.6,1.1,0.6,61.8
2019-05-09 Do. 06:00 ,2019-05-01103,12.7,38.7,56.8,71.0,0.0,8.0,28.0,205,255,,1.6,11.8,17.4,34.1,44.6,59.8,0.5,1.1,49.0,4.21,7.49,3.65,0.58,0.25,0.081,0.42,0.17,0.64,62.9,66.8,0.63,20.3,4.7,0.7,1.7,2.5,0.4,1.8,61.9
2019-05-07 Di. 06:00 ,2019-05-00806,12.7,32.4,50.0,70.6,0.0,8.4,28.0,185,235,0.2,1.7,12.4,18.0,34.4,43.6,56.6,0.3,0.6,50.1,4.30,7.67,3.90,0.50,0.25,0.031,0.44,0.18,0.62,61.2,65.2,0.58,21.6,5.2,0.8,1.6,2.5,0.5,0.7,60.5
2019-05-06 Mo. 06:00 ,2019-05-00642,12.3,33.4,51.7,70.6,-0.1,8.4,28.0,200,245,1.1,1.7,12.4,17.9,34.2,43.2,56.4,0.4,0.9,48.8,4.34,7.67,3.67,0.50,0.26,0.042,0.44,0.18,0.61,64.1,68.0,0.59,21.8,5.1,0.5,2.0,2.7,0.5,0.3,61.1
2019-05-02 Do. 06:00 ,2019-05-00169,12.1,33.2,50.5,70.5,-0.1,8.4,28.0,190,220,,1.7,12.4,17.9,34.4,43.6,56.8,0.3,0.7,49.6,4.36,7.72,3.77,0.49,0.25,0.019,0.45,0.18,0.61,62.6,66.7,0.57,22.1,4.1,0.6,1.9,2.8,0.4,0.6,61.6
2019-04-29 Mo. 06:00 ,2019-04-03647,11.4,36.1,53.1,70.7,0.0,8.1,27.5,190,225,,1.7,12.6,18.6,36.2,46.5,59.9,0.5,1.1,48.9,4.14,7.55,3.81,0.57,0.25,0.070,0.44,0.19,0.71,62.9,67.0,0.62,21.5,3.5,0.4,1.9,2.8,0.6,0.6,62.5
2019-04-25 Do. 09:00 ,2019-04-03257,13.7,41.2,61.0,70.2,0.0,7.2,28.0,225,265,0.0,1.6,11.5,16.6,31.7,41.0,55.7,0.4,0.8,49.0,4.21,7.34,3.87,0.57,0.23,0.076,0.40,0.17,0.56,62.6,66.7,0.61,22.8,3.5,0.4,1.4,3.5,0.5,2.0,59.9
2019-04-23 Di. 06:00 ,2019-04-02969,13.9,40.4,60.6,70.1,0.0,7.2,28.5,210,250,,1.6,11.4,16.6,31.8,41.0,55.3,0.4,0.8,50.3,4.63,7.84,3.90,0.58,0.25,0.075,0.42,0.18,0.72,63.2,67.4,0.63,21.8,4.4,0.6,1.2,3.2,0.4,0.6,61.2
